date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1957-03-01,0.1343,0.0207,0.021400000000000002,0.0177,0.027200000000000002,0.019,0.0222,0.0105,0.019799999999999998,0.0278,0.0253,0.0060999999999999995,0.031,0.028900000000000002,0.016200000000000003,0.0085,0.0152,0.019799999999999998,0.0197
1957-04-01,-0.032,0.0443,0.051699999999999996,0.0394,0.057300000000000004,0.025099999999999997,0.054000000000000006,0.0596,0.0444,0.0625,0.0401,0.0141,0.0349,0.04769999999999999,0.0596,0.0709,0.0329,0.048600000000000004,0.0334
1957-05-01,0.0426,0.034300000000000004,0.039900000000000005,0.0088,0.0397,0.042199999999999994,0.0407,0.009899999999999999,0.0143,0.0437,0.0259,0.0213,0.060599999999999994,0.0345,0.0463,0.0132,0.0017000000000000001,0.0168,0.0077
1957-06-01,-0.0011,-0.0028000000000000004,-0.0113,0.0011,0.0076,-0.0195,-0.0192,-0.0021,0.0043,0.015700000000000002,-0.0203,-0.0281,-0.012199999999999999,-0.0203,-0.0182,-0.0016,-0.0032,0.0129,-0.0194
1957-07-01,0.0062,0.013000000000000001,0.0048,-0.0006,0.0066,0.015700000000000002,0.010700000000000001,0.0002,0.003,0.0103,-0.0053,0.0207,-0.0072,0.0076,0.015,0.0031,-0.0063,-0.0022,0.008100000000000001
1957-08-01,-0.0823,-0.053,-0.04769999999999999,-0.060700000000000004,-0.0637,-0.0395,-0.049400000000000006,-0.0545,-0.0723,-0.0672,-0.0521,-0.0406,-0.0348,-0.0471,-0.0524,-0.0599,-0.042300000000000004,-0.07400000000000001,-0.0706
1957-09-01,-0.0596,-0.0637,-0.0501,-0.0462,-0.06570000000000001,-0.0584,-0.052199999999999996,-0.041100000000000005,-0.0645,-0.0677,-0.059000000000000004,-0.061500000000000006,-0.044500000000000005,-0.0575,-0.045,-0.051399999999999994,-0.0182,-0.0633,-0.06559999999999999
1957-10-01,-0.1408,-0.0361,-0.0351,-0.0553,-0.0331,-0.038900000000000004,-0.0365,-0.032799999999999996,-0.0669,-0.0334,-0.0322,-0.039599999999999996,-0.0356,-0.0414,-0.029900000000000003,-0.030299999999999997,-0.0383,-0.0729,-0.0608
1957-11-01,0.0946,0.0215,0.0187,0.0073,0.051,-0.0049,0.0177,0.0143,-0.0068000000000000005,0.055,0.0384,-0.0123,0.0285,0.015600000000000001,0.020499999999999997,0.0083,0.0273,0.004699999999999999,-0.0183
1957-12-01,-0.0218,-0.0338,-0.0353,-0.061200000000000004,-0.037000000000000005,-0.0285,-0.0375,-0.0425,-0.0824,-0.0431,-0.0173,-0.03,-0.0217,-0.0353,-0.0405,-0.047400000000000005,-0.0321,-0.08289999999999999,-0.0819
1958-01-01,0.1478,0.030899999999999997,0.054000000000000006,0.0849,0.027000000000000003,0.0412,0.0455,0.0682,0.0907,0.0258,0.0308,0.0356,0.0654,0.056299999999999996,0.0311,0.0638,0.0774,0.0771,0.1045
1958-02-01,-0.0363,-0.023,-0.012,-0.0126,-0.025,-0.016,-0.013300000000000001,-0.022799999999999997,-0.0154,-0.0321,-0.0029,-0.0207,0.0032,-0.0085,-0.0199,-0.0294,-0.0089,-0.0028000000000000004,-0.0278
1958-03-01,-0.0021,0.027999999999999997,0.0339,0.0434,0.0265,0.0277,0.0365,0.0455,0.044000000000000004,0.0239,0.034300000000000004,0.0297,0.0197,0.0233,0.0548,0.046900000000000004,0.0426,0.0501,0.0378
1958-04-01,0.08,0.024900000000000002,0.04,0.0256,0.009300000000000001,0.0414,0.0479,0.0276,0.0223,0.0062,0.018500000000000003,0.0436,0.0325,0.0536,0.0403,0.026600000000000002,0.029900000000000003,0.0334,0.0109
1958-05-01,0.077,0.0129,0.0217,0.019299999999999998,0.016,0.0139,0.019,0.0123,0.028300000000000002,0.0106,0.0322,0.009399999999999999,0.0325,0.0252,0.0106,0.0146,0.0077,0.039599999999999996,0.0163
1958-06-01,0.0335,0.0256,0.0276,0.0233,0.027999999999999997,0.0209,0.0338,0.028900000000000002,0.020099999999999996,0.0319,0.0168,0.0227,0.013300000000000001,0.0263,0.0441,0.0296,0.0276,0.0147,0.0259
1958-07-01,0.0727,0.040999999999999995,0.0353,0.0759,0.0553,0.021400000000000002,0.0315,0.06309999999999999,0.0726,0.055999999999999994,0.0537,0.018600000000000002,0.031200000000000002,0.0351,0.0216,0.0542,0.0827,0.0741,0.0691
1958-08-01,0.0859,0.0138,0.009399999999999999,0.03,0.013300000000000001,0.0148,0.004699999999999999,0.0235,0.030600000000000002,0.0182,0.0016,0.014499999999999999,0.016,-0.0025,0.025,0.021,0.0288,0.0362,0.0176
1958-09-01,0.1548,0.0388,0.054900000000000004,0.0694,0.0384,0.0379,0.0676,0.0444,0.06480000000000001,0.0344,0.0482,0.0395,0.0325,0.07139999999999999,0.0571,0.0285,0.0785,0.0576,0.0818
1958-10-01,0.1783,0.021099999999999997,0.0268,0.044500000000000005,0.0262,0.0146,0.0279,0.0273,0.0553,0.0274,0.0232,0.0131,0.0203,0.0246,0.0371,0.0292,0.0233,0.0745,0.0113
1958-11-01,0.0216,0.0271,0.022000000000000002,0.0278,0.0332,0.026699999999999998,0.0175,0.0199,0.0127,0.0339,0.0315,0.0172,0.0608,0.019299999999999998,0.0126,0.0012,0.0583,0.0055000000000000005,0.030299999999999997
1958-12-01,0.1164,0.0639,0.0379,0.0552,0.0707,0.0537,0.0342,0.0398,0.055099999999999996,0.0789,0.0508,0.0526,0.057699999999999994,0.026699999999999998,0.054900000000000004,0.0319,0.0553,0.0652,0.031200000000000002
1959-01-01,-0.005600000000000001,-0.0013,0.0124,0.0208,-0.0076,0.0138,0.0034999999999999996,0.025099999999999997,0.0236,-0.0116,0.0024,0.009300000000000001,0.0291,-0.0027,0.0204,0.030299999999999997,0.0154,0.009300000000000001,0.0587
1959-02-01,-0.058899999999999994,0.0208,-0.0199,0.0159,0.0348,0.004699999999999999,-0.0383,0.0073,0.0141,0.04,0.0218,-0.0023,0.0278,-0.0441,-0.0231,0.001,0.0194,-0.0002,0.0475
1959-03-01,0.0327,0.0089,-0.0006,-0.0038,0.0116,0.0012,0.0043,-0.0108,0.0005,0.0166,-0.0009,0.0043,-0.0089,-0.0008,0.0175,-0.0101,-0.012,-0.0209,0.0482
1959-04-01,0.0622,0.044800000000000006,0.0365,0.0434,0.0553,0.0235,0.047599999999999996,0.0288,0.0421,0.0622,0.0377,0.026600000000000002,0.0132,0.0604,0.015300000000000001,0.0197,0.0461,0.0335,0.0599
1959-05-01,0.0176,0.0213,0.011200000000000002,0.031,0.0381,-0.0011,0.01,0.009899999999999999,0.035,0.0392,0.0355,-0.0086,0.023700000000000002,0.011699999999999999,0.0054,0.0026,0.023399999999999997,0.0287,0.04769999999999999
1959-06-01,0.061200000000000004,-0.0095,-0.0019,0.0225,-0.0074,-0.009899999999999999,-0.005,0.015600000000000001,0.018000000000000002,-0.0125,0.0060999999999999995,-0.0134,0.0013,-0.0088,0.0052,0.0068000000000000005,0.0316,0.0196,0.0146
1959-07-01,-0.0033,0.0431,0.021400000000000002,0.036699999999999997,0.045899999999999996,0.021400000000000002,0.0231,0.0325,0.0379,0.0377,0.0552,0.030600000000000002,0.0102,0.021,0.0301,0.029900000000000003,0.0356,0.026600000000000002,0.0512
1959-08-01,-0.005699999999999999,-0.0227,-0.0040999999999999995,-0.0216,-0.0232,-0.0132,-0.0007000000000000001,-0.0218,-0.0159,-0.026600000000000002,-0.0194,-0.020099999999999996,-0.0048,-0.0004,-0.0018,-0.0173,-0.0271,-0.010700000000000001,-0.0217
1959-09-01,-0.0801,-0.0508,-0.043899999999999995,-0.0296,-0.0482,-0.0542,-0.0409,-0.0398,-0.039599999999999996,-0.0455,-0.051100000000000007,-0.0629,-0.0436,-0.0394,-0.046,-0.0567,-0.019799999999999998,-0.0479,-0.029900000000000003
1959-10-01,-0.0016,0.011699999999999999,0.0139,0.0265,0.0086,0.019799999999999998,0.0172,0.009000000000000001,0.0358,0.021099999999999997,-0.0053,0.0259,0.0126,0.015,0.024900000000000002,0.0015,0.0175,0.0345,0.037200000000000004
1959-11-01,0.0086,0.0291,-0.0007000000000000001,0.0029,0.028900000000000002,0.0239,-0.0038,-0.018600000000000002,0.0338,0.0593,-0.0060999999999999995,0.030299999999999997,0.016200000000000003,-0.006,0.0036,-0.0108,-0.0275,0.0398,0.027000000000000003
1959-12-01,0.0325,0.032799999999999996,0.022400000000000003,0.0106,0.0335,0.025099999999999997,0.0223,0.025099999999999997,-0.0018,0.030899999999999997,0.036699999999999997,0.0297,0.0195,0.025099999999999997,0.0132,0.0265,0.0236,-0.0085,0.0059
1960-01-01,-0.0823,-0.08929999999999999,-0.051100000000000007,-0.057699999999999994,-0.09230000000000001,-0.0724,-0.0447,-0.057800000000000004,-0.0528,-0.09720000000000001,-0.0863,-0.0754,-0.0687,-0.042800000000000005,-0.0512,-0.0537,-0.0626,-0.0504,-0.0556
1960-02-01,-0.0369,0.006500000000000001,0.0274,-0.0079,0.0074,0.01,0.036000000000000004,-0.0102,0.006999999999999999,0.0269,-0.016,0.0025,0.0191,0.042199999999999994,0.0152,0.0009,-0.0231,0.010700000000000001,0.0027
1960-03-01,-0.0571,-0.0132,-0.0132,-0.0148,-0.009300000000000001,-0.020099999999999996,-0.016,-0.0022,-0.0349,-0.002,-0.018500000000000003,-0.031,-0.006999999999999999,-0.018799999999999997,-0.0063,-0.009399999999999999,0.0064,-0.019299999999999998,-0.0529
